text_preprocessed,label
september 2015 republic azerbaijan join sustainable development agenda 20162030 approve un summit sustainable development new york launch enforcement process sustainable development goals sdg 17 sdg 169 target 232 indicator seven sdg sdg 6 sdg 7 sdg 11 sdg 12 sdg 13 sdg 14 sdg 15 directly deal mitigation environmental climate change issue sdg 8 sdg 9 touch topic indirectly example sustainable development goal 13 call take urgent action combat climate change impact note relevant target development implementation new innovative technology explore potential green economy expand application country great importance sdg 7 ensure access affordable reliable sustainable modern energy target 72 envisage substantial increase share renewable energy global energy mix 2030 goal 73 call double global rate improvement energy efficiency 2030 target 7a envisage enhance international cooperation facilitate access clean energy research technology include renewable energy energy efficiency advanced clean fossilfuel technology promote investment energy infrastructure clean energy technology 2030,0
indicators economic development 1 gross domestic product gdp trillion yuan 2 total labor productivity 10000 yuanperson 3 urbanization rate 4 proportion add value service industry permanent population urbanization rate urbanization rate register population innovation drive 5 research experimental development investment intensity 6 number invention patent 10000 population piece 7 contribution rate scientific technological progress 8 internet penetration rate people39 livelihood wellbee 9 growth capita disposable income resident 10 average education year workingage population year 11 new urban employment 10000 people 12 rural poor population lift poverty 10000 people 13 basic endowment insurance participation rate 14 urban shantytown housing renovation 10000 set 15 average life expectancy year resource environment 16 cultivate land holding 100 million mu 17 scale new construction land 10000 mu 18 decrease water consumption thousand yuan gdp 19 decrease energy consumption unit gdp 20 proportion nonfossil energy primary energy consumption 21 reduction carbon dioxide emission unit gdp fix broadband household penetration rate mobile broadband user penetration rate 2015 677 gt927 87 gt12 561 60 399 45 505 56 21 63 553 40 57 1023 82 1865 2020 12 25 12 60 70 85 108 90 1865 15 average annual growth rate quotcumulativequot attributegt65 anticipationgt66 anticipation39 anticipation51 55 anticipation04 anonperson anticipatory30 anticipatory28 gt65 anticipatory057 restrictivegt5000 anticipatory5575 restrictive,0
energy trai continue support energy efficiency 2020 follow key assumption 21 measure scenario renovation 2 building annually nearlyzero energy standard include use renewable source 2 energy power system analyse simulation market development transformation software hourly optimization operation development resource power system price emission allowance eu ets assume eu reference scenario 2016 simulation operation refinery satisfy domestic demand possible exist capacity mean build new refinery measure scenario reduce production exist measure additional measure scenario support development share electric vehicle 25 personal vehicle 2050 intermodal shift goal shift 7 transport passenger good rail 2030 20 2050 improvement energy efficiency industry fuel switch use renewable energy electricity assumptions electricity need meet domestic source nuclear power plant krko 2030 significantly increase generation croatian power plant import amount 25 35 new capacity renewable resource new electricity demand replacement old capacity settle production fossil power plant 50 gasfired power plant 50 coalfire power plant nuclear power plant krko continue deliver 50 energy croatia operate 2043 fuel production refinery drive domestic demand improvement environmental performance lifetime power plant line directive 201075eu industrial emission 22 exist measure scenario assumption 2020 instal capacity renewable energy source power plant define national action plan renewable energy source 2020 tar,0
indonesia longterm strategy 17 low carbon climate resilience 2050 indonesia ltslccr 2050 scenario mitigation effort adaptation atmospheric concentration 2100 1000 ppm coe emission scenario coe concentration 2100 s 450 ppm likely maintain warming 2c scenario project 2050 ghg emission reduction reach 40 70 compare 2010 49 45 anonperson coe year 2100 emission level reach near zero model pathway limited overshoot 15c global net anthropogenic co emission decline 45 2010 level 2030 4060 interquartile range reach netzero 2050 20452055 interquartile range limit global warming 2c co emission project decline 20 2030 pathway 1030 interquartile range reach netzero 2075 20652080 interquartile range nonco emission pathway limit global warming 15c deep reduction similar pathway limit warming 2c ipcc sr15 2050 earth population estimate 9 billion grow demand energy natural resource environmental degradation erosion natural resource expect continue 2050 irreversible change endanger life livelihood ambitious policy world face disruptive climate change result increase ghgs emission 50 70 growth energyrelate co emission increase emission cause temperature increase 2c threshold affect precipitation pattern increase glaci permafrost melt increase sealevel worsen intensity frequency extreme weather event project 2050 biodiversity loss continue mature forest shrink area 13 follow commercial forestry mean species abundance decrease,0
mitigation measure manitoba energy efficiency society act energy conservation targets brief description manitoba carbon savings account brief description ontario energy efficiency standards product appliance equipment short description sector target crosssectoral ghg target objective activity target co ch reduce energy consumption crosssector co ch reduce hfc nf sf crosssectoral co ch ghg emission type instrument anonperson anonperson emission residential commercial industrial sector status implementation regulation measure implement 2018 law society energy efficiency manitoba pass province create efficiency manitoba new crown corporation goal administer achieve costeffective energy saving consumer manitoba39s energy efficiency corporation act require manitoba meet legislated saving target 225 domestic electricity demand average 15 year domestic electricity consumption 1125 domestic natural gas demand average 075 annual natural gas consumption 15year period launch energy efficiency program manage efficiency manitoba 2020 manitoba hydro continue offer energy efficiency program ne39 measure implement start implementation measure implement new measure propose 2018 legislation manitoba 2020 programming responsible implementation 2018 regulations place 1989 standards place 80 product implementation date range 1993 2021 manitoba estimate impact mitigation 2020 kt co eq ne manitoba jurisdiction north america establish economywide carbon economy set emission reduction target 20182022 june 2019 ahead november regulatory deadline carbon savings account 20182022 base recommendation independent expert advisory board include emission reduction target 1 mt eq co cumulative emission reduction 2018 end 2022 fiveyear carbon saving account continue establish require green climate plan implementation act order promote timely sustained emission reduction ontario regulation ne39 estimated mitigation impact e 2030 kt co eq ne39 ne ne39 ontario regulation 50918 establish efficiency requirement 80 product use,0
currently 21000 onshore wind turbine provide electricity 10 million household germany avoid emission 302 million ton atmosphere assume 2030 25 gw electricity produce trail park north baltic seas equivalent annual capacity 20 nuclear power plant increase capacity wind power plant coastal water procedure register investment project simplify year investor exempt fee transit clean energy power line federal government support construction 10 offshore wind park purpose 2011 state bank open preferential credit line 5 billion euro great importance concept give development bio solar energy accord estimate desertec industrial initiative project involve construction giant solar power plant africa middle east capable provide 15 need electron 2050 project estimate 400 billion euro network economy necessary build transmission line organize supply electricity offshore wind park northern germany central southern region 1 increase energy efficiency,0
environmental impact negative positive outcome generate different activity facility project affect different element environment pollution prevention measure procedure take prevent pollution pollution control measure procedure take reduce eliminate emission pollutant,0
prepare anonperson anonperson 6 advances adaptation climate change state vulnerability peru water availability scenario basin level,0
viiic provision intend ensure regulated substance identify aim act appropriately control production consumption reduce schedule require congress regulate substance inadvertently create,0
directorate promotion defense women39s rights intergovernmental panel climate change environmental impact assessment,0
onesixth kuwait oil gas production consume domestic market accord estimate knpc produce market refined product half domestic consumption go power plant seawater desalination unit rest consume mainly oil industry follow transport sector small proportion consume household figure 123 right show kuwaits daily consumption crude oil oil product thousand equivalent barrel crude period 19942016 decline oil consumption 2009 factor shift use natural gas power station petrochemical industry finally low natural gas production relative consumption requirement kuwait net importer natural gas 2009 2016 kuwaits total import natural gas reach 1523 billion cubic foot nearly 417 million cubic foot day knpc data anonperson mil whi exc feet anonperson 201 pla spe boc cap bill alle yea cur pro natural gas kuwait estimate 18 trillion cubic meter prove natural gas reserve 2015 kuwaits reserve consider significant relative global reserve spur extensive drive natural gas exploration utilization discovery large nonassociated gas reserve discover northern area country delay parliamentary opposition 2006 september 2016 kuwait award contract international company enable startup production gas reserve 2018 36 billion second phase plan project hold tender unexpectedly cancel late 2017,0
july 25 2014 decree formalize action plan national climate change strategy executive decree 39114 mina july 25 2015 decree promotion open government,0
epigraph introduction 3 requirement subject benefit incentive rate 4 requirement component system purpose access incentive rate 5 procedure access incentive rate 6 incentive rate period entitlement 7 award photovoltaic system combine efficient use energy 8 withdrawal valorisation electricity produce photovoltaic system 9 conditions accumulation incentive 10 method disbursement incentive 11 checks control 12 rated power target install 13 maximum limit cumulative electric power plant obtain incentive tariff 14 monitoring dissemination dissemination result information activity 15 technological monitoring promotion technology development 16 final provision anonperson annex 2 annex 3 annex 4 dm february 19 2007 9,0
approach electricity include 1 increase electricity generate renewable lowemitte source 2 connect clean power place need 3 modernizing electricity system 4 reduce reliance diesel work indigenous peoples northern remote community provinces territory take action move traditional coalfire generation clean electricity ontario manitoba phase use coal alberta plan place phase coalfire electricity 2030 nova scotia create regulatory framework transition coal clean electricity generation saskatchewan coalfire generate unit carbon capture technology capture 90 percent emission new capacity come nonemitting source include hydro wind solar natural gas energy efficiency conservation add contribution clean electricity system pancanadian framework clean growth climate change,0
key challenges need develop integrate approach policy operational level address climate change need ensure building construct urban rural area cyclone resistant anonperson 2 year establish national platform climate change disaster risk management 2015 effectively develop national strategic plan climate change disaster resilience 2015 need strengthen role local government build resilience need great understanding impact climate change order well plan long term development need ensure climate change mitigation adaptation national sub national development planning budgetary process need increase resourcing adaptation proposed way forward actions time bind indicators review fiji national disaster management arrangements include climate change 2016 short term 2 year review national building code end 2016 medium term 3 5 year provide incentive support compliance new building standard 2017 short term 2 year development local government selfassessment tool climate change resilience 2016 review town plan regulation facilitate enforcement zoning buffer zone coastal river bank high risk area mangrove area review complete 2016 short term 2 year develop comprehensive assessment framework include adoption damage loss assess methodology 2015 medium term 3 5 year institutionalise mechanism collect analyse hazard vulnerability exposure datum 2017 mainstream costbenefit analysis decision making process mitigation preparedness mea 2017 encourage collaboration development partner tertiary institution conduct researc priority area climate change disaster risk reduction 2017 long term 5 year develop hazard map model potential hazard include sea level rise storm surge flood tsunami 2020 short term 2 year integrate climate,0
